"topic","shorttopic","coefficient","stderr","t","p","positive","negative"
"critic,modern,conting,contemporari,theori,conceptu,theoret","Critical Theory",-0.0135090498284076,0.00634135959293145,-2.13030811932914,0.0333209828082328,0,1
"vote,voter,choic,turnout,elect,elector,chapter","Voting",-0.0116708956774946,0.00556524516905224,-2.0971035997471,0.0361642995865641,0,1
"terror,war,terrorist,oper,likelihood,theori,novel","Interstate War",-0.0105653375297848,0.00489755866680119,-2.15726615005217,0.0311555014622698,0,1
"partisan,polar,elector,elect,incumb,district,advantag","Partisanship",-0.0100046467078102,0.00523819925343772,-1.90994008126826,0.0563461226085566,0,0
"moral,thought,ethic,virtu,life,human,philosophi","Political Theory",-0.00712619490479434,0.0057418344400116,-1.24110072821604,0.214777501019406,0,0
"exploit,coordin,neoliber,space,procedur,constitut,crisi","Finance",-0.00647538895090159,0.00381181753418439,-1.69876676751452,0.0895864364032207,0,0
"emot,attitud,survey,citizen,sophist,belief,psycholog","Political Psychology",-0.00638332780483948,0.00562277373482476,-1.1352631469597,0.256460373001692,0,0
"militari,innov,doctrin,capabl,forc,intellig,civilian","Foreign Policy",-0.006215963557034,0.0040532720434279,-1.53356682957236,0.125363326353323,0,0
"bank,invest,foreign,monetari,trade,financi,investor","International Political Economy",-0.00572107750901204,0.00503372943161872,-1.13654847498871,0.255922569574119,0,0
"campaign,candid,consult,voter,elect,primari,presidenti","Campaigns",-0.0053446683036577,0.00593375569871751,-0.900722674648178,0.367891481794249,0,0
"judici,court,judg,complianc,legal,execut,decis","Judicial Politics",-0.00513417954058706,0.00439273593522351,-1.16878856737511,0.242688800312354,0,0
"corrupt,countri,variabl,quantit,cross-nat,cross-sect,regress","Corruption",-0.00490313224857703,0.00564322450384348,-0.868852948387507,0.38507723733695,0,0
"congress,committe,bill,legisl,congression,hous,senat","Congress",-0.00357315116203389,0.00531716350077858,-0.672003251641722,0.501693062197911,0,0
"tax,properti,redistribut,fiscal,revenu,cost,spend","Fiscal Policy",-0.00351119823449548,0.00455906355378142,-0.770157773208314,0.441336896096945,0,0
"presid,frame,presidenti,agenda,issu,press,speech","Presidential Action",-0.00345523067714238,0.00438559125960783,-0.787859714370955,0.430912807400422,0,0
"land,agricultur,industri,sector,economi,rural,oil","Land",-0.00288447933934777,0.00479624744051456,-0.601403362758598,0.547669213636869,0,0
"attack,model,terrorist,target,threat,game,measur","Terrorism",-0.00266827701235082,0.00499391077723933,-0.534306104248395,0.593215029297521,0,0
"canada,canadian,thesi,labour,constitut,feder,german","Canada",-0.00262012668212346,0.00380977393141229,-0.687738099239968,0.491732217591419,0,0
"agenc,bureaucrat,bureaucraci,enforc,regul,administr,regulatori","Bureaucracy",-0.00246392514983421,0.00444278397515618,-0.554590356770069,0.579263914615592,0,0
"mediat,disput,cost,formal,inform,predict,incent","Disputes",-0.0022616945998546,0.00499417400139826,-0.452866600006604,0.650715326889611,0,0
"societi,democrat,freedom,civil,democraci,liberti,liber","Freedom",-0.00205662000290594,0.0040042973282306,-0.51360322032198,0.607610879537863,0,0
"secur,transnat,migrat,border,brazil,physic,boundari","Security",-0.00205299674387808,0.004370760236104,-0.469711590885177,0.638634602637645,0,0
"region,european,integr,latin,transport,trade,america","Regional Politics",-0.00203719622152647,0.00426178139984456,-0.478015184354781,0.632714400924973,0,0
"public,opinion,crime,mass,fear,poll,assess","Public Opinion",-0.00180238575432343,0.00323040190072582,-0.557944741772986,0.576971772884573,0,0
"minor,indian,behavior,american,aggress,counti,empower","Minority Participation",-0.00170144793106434,0.00446714249316891,-0.380880604025095,0.703349922429375,0,0
